No,Timestamp,Power (W),Energy (kWh),Hourly Cost (৳)
1,Fri Nov 21 2025 20:46:38 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
2,Fri Nov 21 2025 20:46:01 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
3,Fri Nov 21 2025 20:45:56 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
4,Fri Nov 21 2025 20:45:56 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
5,Fri Nov 21 2025 20:45:53 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
6,Fri Nov 21 2025 20:45:51 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
7,Fri Nov 21 2025 20:45:49 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
8,Fri Nov 21 2025 20:45:46 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
9,Fri Nov 21 2025 20:45:46 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
10,Fri Nov 21 2025 20:45:42 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
11,Fri Nov 21 2025 20:45:41 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
12,Fri Nov 21 2025 20:45:39 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
13,Fri Nov 21 2025 20:45:36 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
14,Fri Nov 21 2025 20:45:35 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
15,Fri Nov 21 2025 20:45:32 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
16,Fri Nov 21 2025 20:45:31 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
17,Fri Nov 21 2025 20:45:29 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
18,Fri Nov 21 2025 20:45:26 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
19,Fri Nov 21 2025 20:45:25 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
20,Fri Nov 21 2025 20:45:22 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
21,Fri Nov 21 2025 20:45:21 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
22,Fri Nov 21 2025 20:45:18 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
23,Fri Nov 21 2025 20:45:16 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
24,Fri Nov 21 2025 20:45:14 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
25,Fri Nov 21 2025 20:45:12 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
26,Fri Nov 21 2025 20:45:11 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
27,Fri Nov 21 2025 20:45:09 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
28,Fri Nov 21 2025 20:45:08 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
29,Fri Nov 21 2025 20:45:06 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
30,Fri Nov 21 2025 20:45:05 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
31,Fri Nov 21 2025 20:45:01 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
32,Fri Nov 21 2025 20:45:01 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
33,Fri Nov 21 2025 20:45:01 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
34,Fri Nov 21 2025 20:44:57 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
35,Fri Nov 21 2025 20:44:54 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
36,Fri Nov 21 2025 20:44:51 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
37,Fri Nov 21 2025 20:44:38 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
38,Fri Nov 21 2025 20:44:38 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
39,Fri Nov 21 2025 20:43:51 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
40,Fri Nov 21 2025 20:43:46 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
41,Fri Nov 21 2025 20:43:41 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
42,Fri Nov 21 2025 20:43:38 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
43,Fri Nov 21 2025 20:43:36 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
44,Fri Nov 21 2025 20:43:31 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
45,Fri Nov 21 2025 20:43:26 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
46,Fri Nov 21 2025 20:43:21 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
47,Fri Nov 21 2025 20:43:16 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
48,Fri Nov 21 2025 20:43:11 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
49,Fri Nov 21 2025 20:43:07 GMT+0600 (Bangladesh Standard Time),29.5,0.0295,0.278
