ENERGY_DATA3,,,,
No,Timestamp,Power (W),Energy (kWh),Hourly Cost (৳)
1,Fri Nov 21 2025 21:36:31 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
2,Fri Nov 21 2025 21:36:26 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
3,Fri Nov 21 2025 21:36:24 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
4,Fri Nov 21 2025 21:36:21 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
5,Fri Nov 21 2025 21:36:20 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
6,Fri Nov 21 2025 21:36:17 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
7,Fri Nov 21 2025 21:36:16 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
8,Fri Nov 21 2025 21:36:13 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
9,Fri Nov 21 2025 21:36:11 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
10,Fri Nov 21 2025 21:36:09 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
11,Fri Nov 21 2025 21:36:06 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
12,Fri Nov 21 2025 21:36:06 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
13,Fri Nov 21 2025 21:36:03 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
14,Fri Nov 21 2025 21:36:01 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
15,Fri Nov 21 2025 21:35:59 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
16,Fri Nov 21 2025 21:35:56 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
17,Fri Nov 21 2025 21:35:56 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
18,Fri Nov 21 2025 21:35:52 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
19,Fri Nov 21 2025 21:35:51 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
20,Fri Nov 21 2025 21:35:49 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
21,Fri Nov 21 2025 21:35:46 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
22,Fri Nov 21 2025 21:35:45 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
23,Fri Nov 21 2025 21:35:42 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
24,Fri Nov 21 2025 21:35:41 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
25,Fri Nov 21 2025 21:35:38 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
26,Fri Nov 21 2025 21:35:36 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
27,Fri Nov 21 2025 21:35:35 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
28,Fri Nov 21 2025 21:35:32 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
29,Fri Nov 21 2025 21:35:31 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
30,Fri Nov 21 2025 21:35:28 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
31,Fri Nov 21 2025 21:35:26 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
32,Fri Nov 21 2025 21:35:25 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
33,Fri Nov 21 2025 21:35:21 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
34,Fri Nov 21 2025 21:35:21 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
35,Fri Nov 21 2025 21:35:18 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
36,Fri Nov 21 2025 21:35:16 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
37,Fri Nov 21 2025 21:35:15 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
38,Fri Nov 21 2025 21:35:11 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
39,Fri Nov 21 2025 21:35:11 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
40,Fri Nov 21 2025 21:35:08 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
41,Fri Nov 21 2025 21:35:06 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
42,Fri Nov 21 2025 21:35:04 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
43,Fri Nov 21 2025 21:35:01 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
44,Fri Nov 21 2025 21:35:01 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
45,Fri Nov 21 2025 21:34:58 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
46,Fri Nov 21 2025 21:34:56 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
47,Fri Nov 21 2025 21:34:54 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
48,Fri Nov 21 2025 21:34:51 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
49,Fri Nov 21 2025 21:34:51 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
50,Fri Nov 21 2025 21:34:47 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
51,Fri Nov 21 2025 21:34:46 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
52,Fri Nov 21 2025 21:34:44 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
53,Fri Nov 21 2025 21:34:41 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
54,Fri Nov 21 2025 21:34:41 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
55,Fri Nov 21 2025 21:34:37 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
56,Fri Nov 21 2025 21:34:36 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
57,Fri Nov 21 2025 21:34:34 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
58,Fri Nov 21 2025 21:34:31 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
59,Fri Nov 21 2025 21:34:30 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
60,Fri Nov 21 2025 21:34:27 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
61,Fri Nov 21 2025 21:34:26 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
62,Fri Nov 21 2025 21:34:24 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
63,Fri Nov 21 2025 21:34:21 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
64,Fri Nov 21 2025 21:34:20 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
65,Fri Nov 21 2025 21:34:17 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
66,Fri Nov 21 2025 21:34:16 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
67,Fri Nov 21 2025 21:34:13 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
68,Fri Nov 21 2025 21:34:11 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
69,Fri Nov 21 2025 21:34:10 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
70,Fri Nov 21 2025 21:34:07 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
71,Fri Nov 21 2025 21:34:06 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
72,Fri Nov 21 2025 21:34:03 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
73,Fri Nov 21 2025 21:34:01 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
74,Fri Nov 21 2025 21:33:59 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
75,Fri Nov 21 2025 21:33:56 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
76,Fri Nov 21 2025 21:33:56 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
77,Fri Nov 21 2025 21:33:53 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
78,Fri Nov 21 2025 21:33:51 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
79,Fri Nov 21 2025 21:33:49 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
80,Fri Nov 21 2025 21:33:46 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
81,Fri Nov 21 2025 21:33:46 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
82,Fri Nov 21 2025 21:33:43 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
83,Fri Nov 21 2025 21:33:41 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
84,Fri Nov 21 2025 21:33:39 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
85,Fri Nov 21 2025 21:33:36 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
86,Fri Nov 21 2025 21:33:36 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
87,Fri Nov 21 2025 21:33:32 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
88,Fri Nov 21 2025 21:33:31 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
89,Fri Nov 21 2025 21:33:29 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
90,Fri Nov 21 2025 21:33:26 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
91,Fri Nov 21 2025 21:33:25 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
92,Fri Nov 21 2025 21:33:22 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
93,Fri Nov 21 2025 21:33:21 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
94,Fri Nov 21 2025 21:33:18 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
95,Fri Nov 21 2025 21:33:16 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
96,Fri Nov 21 2025 21:33:15 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
97,Fri Nov 21 2025 21:33:12 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
98,Fri Nov 21 2025 21:33:11 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
99,Fri Nov 21 2025 21:33:08 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
100,Fri Nov 21 2025 21:33:06 GMT+0600 (Bangladesh Standard Time),32.9,0.0329,0.310
