No,Timestamp,Date,Time,Power (W),Energy (kWh),Hourly Cost (৳)
1,Fri Nov 21 2025 21:36:31 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:31,32.9,0.7106,0.31
2,Fri Nov 21 2025 21:36:26 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:26,32.9,0.7106,0.31
3,Fri Nov 21 2025 21:36:24 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:24,32.9,0.7106,0.31
4,Fri Nov 21 2025 21:36:21 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:21,32.9,0.7106,0.31
5,Fri Nov 21 2025 21:36:20 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:20,32.9,0.7106,0.31
6,Fri Nov 21 2025 21:36:17 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:17,32.9,0.7106,0.31
7,Fri Nov 21 2025 21:36:16 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:16,32.9,0.7106,0.31
8,Fri Nov 21 2025 21:36:13 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:13,32.9,0.7106,0.31
9,Fri Nov 21 2025 21:36:11 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:11,32.9,0.7106,0.31
10,Fri Nov 21 2025 21:36:09 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:09,32.9,0.7106,0.31
11,Fri Nov 21 2025 21:36:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:06,32.9,0.7106,0.31
12,Fri Nov 21 2025 21:36:06 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:06,32.9,0.7106,0.31
13,Fri Nov 21 2025 21:36:03 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:03,32.9,0.7106,0.31
14,Fri Nov 21 2025 21:36:01 GMT+0600 (Bangladesh Standard Time),Nov 21, 2025,21:36:01,32.9,0.7106,0.31
